"Player Type","Player Name","Victory count","Victory percentage","Lost count","Lost percentage","Draw count","Draw percentage","Average score","Average completed objective","Average turn count","Game count"
"PLOT_RUSH","Philippe","477","79.5","123","20.5","0","0.0","32.06666666666667","8.905","22.456666666666667","600"
"SABOTEUR","Mireille","28","4.666666666666667","572","95.33333333333334","0","0.0","8.796666666666667","1.8383333333333334","22.456666666666667","600"
"RANDOM","Anne-Marie","95","15.833333333333332","505","84.16666666666667","0","0.0","15.141666666666667","3.415","22.456666666666667","600"
